1* Interacao:
Posicao: [18, 1, 0, 21] -> Acuracia: 85.4%, Precisao: 47.4%, Recall: 1.4%, Performance: 26.5%
Posicao: [15, 0, 1, 56] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.2%, Performance: 32.0%
Posicao: [13, 1, 2, 58] -> Acuracia: 85.6%, Precisao: 59.4%, Recall: 2.9%, Performance: 30.9%
Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [15, 1, 0, 10] -> Acuracia: 85.5%, Precisao: 52.2%, Recall: 1.8%, Performance: 28.2%
Posicao: [21, 1, 1, 43] -> Acuracia: 85.7%, Precisao: 87.5%, Recall: 2.1%, Performance: 38.4%
Posicao: [16, 1, 2, 17] -> Acuracia: 85.5%, Precisao: 52.0%, Recall: 2.0%, Performance: 28.2%
Posicao: [20, 1, 0, 65] -> Acuracia: 85.5%, Precisao: 56.2%, Recall: 1.4%, Performance: 29.1%
Posicao: [28, 0, 1, 55] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.3%, Performance: 41.0%
Posicao: [17, 1, 2, 40] -> Acuracia: 85.5%, Precisao: 50.0%, Recall: 1.2%, Performance: 27.2%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

2* Interacao:
Posicao: [20, 1, 0, 10] -> Acuracia: 85.5%, Precisao: 56.2%, Recall: 1.4%, Performance: 29.1%
Posicao: [17, 0, 1, 56] -> Acuracia: 85.6%, Precisao: 81.8%, Recall: 1.4%, Performance: 36.4%
Posicao: [22, 1, 2, 55] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 42] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [19, 1, 0, 10] -> Acuracia: 85.5%, Precisao: 58.8%, Recall: 1.5%, Performance: 29.9%
Posicao: [30, 1, 1, 37] -> Acuracia: 85.6%, Precisao: 88.9%, Recall: 1.2%, Performance: 38.3%
Posicao: [25, 1, 2, 11] -> Acuracia: 85.5%, Precisao: 63.6%, Recall: 1.1%, Performance: 31.0%
Posicao: [25, 1, 0, 71] -> Acuracia: 85.5%, Precisao: 63.6%, Recall: 1.1%, Performance: 31.0%
Posicao: [30, 0, 1, 46] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [19, 1, 2, 29] -> Acuracia: 85.5%, Precisao: 58.8%, Recall: 1.5%, Performance: 29.9%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

3* Interacao:
Posicao: [21, 1, 0, 10] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 1.2%, Performance: 29.2%
Posicao: [30, 0, 1, 47] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 1, 2, 51] -> Acuracia: 85.4%, Precisao: 42.9%, Recall: 0.5%, Performance: 24.7%
Posicao: [30, 0, 1, 39] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [21, 1, 0, 10] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 1.2%, Performance: 29.2%
Posicao: [30, 0, 1, 54] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 1, 2, 21] -> Acuracia: 85.4%, Precisao: 42.9%, Recall: 0.5%, Performance: 24.7%
Posicao: [30, 1, 0, 63] -> Acuracia: 85.4%, Precisao: 42.9%, Recall: 0.5%, Performance: 24.7%
Posicao: [30, 0, 1, 40] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [22, 1, 2, 22] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

4* Interacao:
Posicao: [22, 1, 0, 10] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 43] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 40] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [21, 1, 0, 11] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 1.2%, Performance: 29.2%
Posicao: [30, 0, 1, 70] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 43] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [28, 1, 0, 60] -> Acuracia: 85.4%, Precisao: 42.9%, Recall: 0.5%, Performance: 24.7%
Posicao: [30, 0, 1, 40] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [25, 1, 2, 19] -> Acuracia: 85.5%, Precisao: 63.6%, Recall: 1.1%, Performance: 31.0%

