1* Interacao:
Posicao: [8.7649, 142, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [3.1945, 241, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.7397, 368, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.0932, 411, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.0578, 193, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.2965, 232, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [4.5439, 306, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [2.3304, 152, 1, 1] -> Acuracia: 73.0%, Precisao: 63.6%, Recall: 52.5%, Performance: 58.6%
Posicao: [3.6266, 292, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

2* Interacao:
Posicao: [10, 352, 1, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [2.9058, 235, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.4076, 424, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.826, 490, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 233, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.6466, 272, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.8815, 369, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.356, 368, 1, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [3.1344, 296, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

3* Interacao:
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [3.8696, 272, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.3926, 421, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [9.3203, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 350, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.0967, 281, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.2042, 421, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.5038, 434, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

4* Interacao:
Posicao: [8.8498, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.003, 314, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.1806, 401, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [9.2534, 495, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.2112, 311, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.6618, 471, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [10, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

5* Interacao:
Posicao: [8.2448, 473, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.9981, 350, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [10, 495, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.0243, 383, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.614, 456, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.7217, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.1737, 368, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
