iter	Passed	Remaining
0	20	31494
1	39	31034
2	57	30261
3	77	30248
4	95	29946
5	114	29857
6	133	29789
7	153	29956
8	172	30056
9	192	30045
10	212	30170
11	233	30362
12	254	30591
13	276	30811
14	298	31007
15	321	31268
16	342	31376
17	364	31495
18	386	31594
19	407	31670
20	429	31761
21	451	31862
22	474	32013
23	498	32182
24	521	32302
25	544	32409
26	566	32485
27	589	32544
28	611	32575
29	633	32619
30	655	32619
31	678	32673
32	701	32770
33	724	32828
34	748	32924
35	771	32959
36	794	32998
37	816	33022
38	839	33027
39	861	33026
40	884	33073
41	908	33136
42	932	33207
43	956	33263
44	979	33273
45	1002	33306
46	1024	33284
47	1046	33282
48	1069	33282
49	1092	33313
50	1116	33344
51	1139	33340
52	1162	33358
53	1185	33362
54	1207	33362
55	1231	33385
56	1254	33377
57	1276	33373
58	1300	33382
59	1322	33382
60	1346	33397
61	1369	33390
62	1391	33383
63	1413	33353
64	1435	33330
65	1458	33320
66	1481	33321
67	1504	33325
68	1528	33347
69	1552	33362
70	1575	33355
71	1598	33347
72	1620	33326
73	1642	33299
74	1665	33278
75	1687	33253
76	1710	33254
77	1733	33247
78	1757	33265
79	1780	33258
80	1802	33231
81	1825	33216
82	1847	33188
83	1870	33173
84	1892	33158
85	1916	33156
86	1940	33159
87	1962	33139
88	1985	33126
89	2007	33104
90	2029	33079
91	2052	33059
92	2074	33028
93	2096	33011
94	2120	33005
95	2143	33001
96	2167	33001
97	2190	32989
98	2213	32981
99	2236	32966
100	2243	32716
101	2265	32696
102	2288	32681
103	2310	32663
104	2334	32658
105	2357	32649
106	2380	32638
107	2403	32624
108	2426	32606
109	2448	32582
110	2471	32573
111	2493	32554
112	2516	32534
113	2540	32535
114	2564	32530
115	2587	32525
116	2610	32512
117	2633	32494
118	2655	32470
119	2677	32447
120	2701	32436
121	2723	32411
122	2746	32394
123	2769	32384
124	2793	32382
125	2816	32368
126	2839	32354
127	2862	32333
128	2884	32315
129	2908	32304
130	2930	32284
131	2954	32276
132	2978	32268
133	3001	32256
134	3025	32244
135	3047	32217
136	3069	32196
137	3092	32176
138	3114	32156
139	3136	32122
140	3158	32104
141	3183	32103
142	3207	32097
143	3230	32082
144	3253	32059
145	3276	32042
146	3298	32017
147	3320	31991
148	3342	31963
149	3364	31941
150	3388	31929
151	3411	31917
152	3434	31899
153	3457	31884
154	3480	31864
155	3502	31834
156	3524	31806
157	3545	31779
158	3569	31762
159	3593	31756
160	3616	31737
161	3640	31730
162	3662	31707
163	3685	31688
164	3707	31663
165	3731	31646
166	3753	31625
167	3776	31609
168	3800	31594
169	3823	31577
170	3846	31559
171	3869	31539
172	3892	31524
173	3914	31497
174	3936	31472
175	3958	31444
176	3981	31427
177	4005	31413
178	4028	31396
179	4051	31377
180	4074	31357
181	4096	31334
182	4119	31313
183	4141	31287
184	4164	31263
185	4186	31242
186	4209	31223
187	4232	31205
188	4256	31192
189	4279	31171
190	4302	31151
191	4323	31122
192	4345	31092
193	4367	31067
194	4390	31049
195	4415	31040
196	4438	31022
197	4461	31003
198	4483	30980
199	4506	30962
200	4528	30935
201	4551	30915
202	4573	30890
203	4596	30867
204	4619	30846
205	4643	30834
206	4666	30816
207	4689	30795
208	4711	30773
209	4734	30751
210	4756	30725
211	4778	30702
212	4801	30681
213	4824	30661
214	4847	30640
215	4870	30621
216	4894	30604
217	4915	30577
218	4938	30555
219	4960	30528
220	4982	30503
221	5004	30480
222	5027	30459
223	5051	30442
224	5074	30424
225	5097	30406
226	5119	30380
227	5142	30361
228	5165	30336
229	5187	30314
230	5209	30287
231	5233	30271
232	5256	30254
233	5280	30236
234	5303	30216
235	5326	30198
236	5349	30176
237	5371	30152
238	5393	30128
239	5417	30111
240	5440	30093
241	5463	30073
242	5486	30052
243	5509	30033
244	5536	30030
245	5558	30007
246	5581	29984
247	5603	29960
248	5626	29938
249	5649	29920
250	5673	29904
251	5696	29886
252	5720	29871
253	5744	29851
254	5767	29832
255	5789	29807
256	5811	29781
257	5833	29756
258	5856	29736
259	5881	29723
260	5905	29706
261	5928	29685
262	5950	29662
263	5972	29636
264	5995	29615
265	6017	29590
266	6041	29573
267	6064	29554
268	6088	29537
269	6112	29519
270	6135	29501
271	6159	29483
272	6182	29465
273	6205	29444
274	6229	29425
275	6251	29402
276	6276	29386
277	6300	29370
278	6324	29354
279	6347	29334
280	6370	29313
281	6394	29295
282	6416	29272
283	6438	29246
284	6461	29223
285	6485	29207
286	6510	29194
287	6533	29172
288	6556	29153
289	6579	29132
290	6602	29110
291	6624	29086
292	6647	29062
293	6669	29039
294	6693	29021
295	6717	29001
296	6740	28981
297	6763	28961
298	6786	28940
299	6810	28922
300	6833	28899
301	6856	28877
302	6877	28849
303	6900	28828
304	6924	28810
305	6948	28791
306	6971	28770
307	6994	28752
308	7017	28729
309	7039	28704
310	7062	28680
311	7084	28657
312	7107	28633
313	7131	28615
314	7154	28596
315	7177	28575
316	7200	28551
317	7222	28524
318	7245	28503
319	7266	28476
320	7289	28455
321	7313	28435
322	7336	28414
323	7359	28392
324	7382	28373
325	7405	28350
326	7428	28327
327	7451	28305
328	7473	28279
329	7495	28253
330	7518	28232
331	7541	28211
332	7564	28190
333	7587	28168
334	7609	28144
335	7631	28120
336	7654	28095
337	7676	28071
338	7698	28045
339	7721	28024
340	7745	28006
341	7768	27985
342	7791	27962
343	7814	27940
344	7836	27917
345	7858	27890
346	7881	27867
347	7903	27845
348	7926	27823
349	7949	27802
350	7973	27780
351	7996	27759
352	8018	27736
353	8041	27713
354	8063	27690
355	8086	27668
356	8109	27644
357	8133	27625
358	8156	27605
359	8179	27584
360	8203	27565
361	8226	27542
362	8248	27518
363	8271	27496
364	8293	27472
365	8316	27447
366	8339	27426
367	8362	27405
368	8386	27387
369	8410	27367
370	8432	27342
371	8455	27319
372	8477	27296
373	8500	27272
374	8522	27247
375	8545	27227
376	8568	27207
377	8591	27184
378	8615	27165
379	8639	27145
380	8661	27122
381	8684	27099
382	8706	27072
383	8727	27047
384	8751	27026
385	8774	27005
386	8798	26985
387	8820	26962
388	8844	26942
389	8866	26918
390	8889	26895
391	8911	26869
392	8933	26845
393	8956	26823
394	8979	26802
395	9002	26780
396	9026	26759
397	9049	26737
398	9071	26713
399	9094	26693
400	9116	26668
401	9139	26645
402	9162	26624
403	9185	26602
404	9209	26581
405	9231	26558
406	9254	26536
407	9276	26511
408	9299	26489
409	9321	26464
410	9343	26439
411	9366	26418
412	9390	26396
413	9414	26377
414	9437	26356
415	9460	26334
416	9483	26311
417	9506	26289
418	9528	26266
419	9552	26245
420	9575	26224
421	9600	26206
422	9624	26187
423	9647	26165
424	9670	26143
425	9692	26118
426	9713	26093
427	9735	26068
428	9758	26044
429	9781	26022
430	9804	26001
431	9827	25980
432	9850	25958
433	9873	25935
434	9895	25910
435	9918	25887
436	9940	25862
437	9962	25839
438	9987	25820
439	10010	25800
440	10034	25779
441	10057	25758
442	10080	25735
443	10103	25713
444	10126	25690
445	10148	25666
446	10171	25644
447	10194	25623
448	10217	25599
449	10241	25581
450	10265	25560
451	10287	25537
452	10310	25514
453	10332	25490
454	10354	25464
455	10376	25440
456	10399	25418
457	10423	25399
